apple:mac_os_x_server,CWE-119,0.190174
mozilla:seamonkey,CWE-399,0.189928
drupal:drupal,CWE-264,0.188811
wireshark:wireshark,CWE-119,0.1875
vmware:server,CWE-264,0.185185
mantisbt:mantisbt,CWE-264,0.185185
xen:xen,CWE-20,0.184971
microsoft:windows_server_2008,CWE-20,0.184132
cisco:adaptive_security_appliance,CWE-20,0.183673
plone:plone,CWE-79,0.181818
isc:bind,CWE-20,0.180851
mozilla:thunderbird,CWE-399,0.179743
google:chrome,CWE-119,0.178658
videolan:vlc_media_player,CWE-189,0.175439
microsoft:windows_rt,CWE-20,0.175115
microsoft:windows_8,CWE-20,0.173228
mybb:mybb,CWE-89,0.173077
microsoft:windows_media_player,CWE-119,0.173077
microsoft:windows_7,CWE-264,0.172862
microsoft:windows_7,CWE-20,0.171004
microsoft:word,CWE-94,0.17094
cisco:ios,CWE-20,0.170673
microsoft:.net_framework,CWE-94,0.17
microsoft:windows,CWE-284,0.168675
ibm:maximo_asset_management,CWE-264,0.168539
mozilla:firefox_esr,CWE-399,0.166667
pidgin:pidgin,CWE-399,0.166667
microsoft:windows_vista,CWE-20,0.16641
ibm:websphere_application_server,CWE-79,0.166052
google:chrome_os,CWE-119,0.163265
mozilla:thunderbird,CWE-119,0.162625
xen:xen,CWE-399,0.16185
digium:asterisk,CWE-119,0.161765
digium:asterisk,CWE-20,0.161765
ibm:db2_universal_database,CWE-264,0.161765
mit:kerberos,CWE-119,0.161017
vmware:esxi,CWE-119,0.16
ffmpeg:ffmpeg,CWE-189,0.159817
joomla:joomla%21,CWE-89,0.157895
tor:tor,CWE-200,0.157895
rubyonrails:ruby_on_rails,CWE-20,0.157143
hp:system_management_homepage,CWE-79,0.156863
wireshark:wireshark,CWE-399,0.154891
cisco:unified_computing_system,CWE-264,0.153846
microsoft:windows_server_2008,CWE-264,0.152695
microsoft:windows_server_2003,CWE-20,0.152174
samba:samba,CWE-264,0.151515
mozilla:firefox,CWE-119,0.151248
cisco:unified_communications_manager,CWE-20,0.151079
ibm:smartcloud_control_desk,CWE-200,0.150943
joomla:joomla,CWE-89,0.150538
microsoft:works,CWE-399,0.15
apple:webkit,CWE-399,0.15
adobe:adobe_air_sdk,CWE-264,0.14966
vmware:server,CWE-119,0.148148
microsoft:windows_vista,CWE-264,0.14792
nullsoft:winamp,CWE-189,0.147541
microsoft:windows_server_2003,CWE-399,0.147343
ibm:db2_universal_database,CWE-119,0.147059
openssl:openssl,CWE-399,0.146667
mozilla:thunderbird_esr,CWE-264,0.146465
joomla:joomla%21,CWE-200,0.144737
apple:apple_tv,CWE-399,0.144144
fedoraproject:fedora,CWE-189,0.144068
canonical:ubuntu_linux,CWE-264,0.142857
cloudbees:jenkins,CWE-264,0.142857
samba:samba,CWE-119,0.141414
ibm:lotus_domino,CWE-119,0.141176
vmware:player,CWE-119,0.141176
libtiff:libtiff,CWE-189,0.140351
apple:itunes,CWE-399,0.14
microsoft:.net_framework,CWE-264,0.14
joomla:joomla,CWE-94,0.139785
microsoft:open_xml_file_format_converter,CWE-20,0.139241
google:android,CWE-200,0.138889
wordpress:wordpress,CWE-264,0.137255
owncloud:owncloud,CWE-264,0.136364
apache:tomcat,CWE-264,0.136364
apple:safari,CWE-399,0.136364
adobe:acrobat_reader_dc,CWE-200,0.136
adobe:acrobat_dc,CWE-200,0.136
openbsd:openssh,CWE-264,0.135802
microsoft:windows_server_2003,CWE-94,0.135266
ibm:maximo_asset_management,CWE-200,0.134831
cisco:asa_5500,CWE-264,0.134615
microsoft:windows_8,CWE-119,0.133858
wireshark:wireshark,CWE-189,0.133152
mozilla:bugzilla,CWE-79,0.132867
moodle:moodle,CWE-200,0.13245
ffmpeg:ffmpeg,CWE-20,0.13242
mozilla:seamonkey,CWE-119,0.132374
juniper:junos,CWE-399,0.132353
realnetworks:realplayer,CWE-94,0.13125
microsoft:windows_7,CWE-399,0.130112
linux:linux_kernel,CWE-399,0.129889
sap:netweaver,CWE-119,0.12963
microsoft:windows_server_2008,CWE-399,0.128743
rubyonrails:ruby_on_rails,CWE-89,0.128571
ibm:db2,CWE-119,0.12844
vmware:workstation,CWE-119,0.12844
microsoft:sql_server,CWE-119,0.128205
php:php,CWE-119,0.12766
plone:plone,CWE-200,0.127273
opera:opera_browser,CWE-264,0.126697
opera:opera_browser,CWE-20,0.126697
mozilla:firefox,CWE-399,0.126285
mozilla:bugzilla,CWE-264,0.125874
adobe:adobe_air,CWE-264,0.125628
cloudbees:jenkins,CWE-200,0.125
microsoft:windows_rt,CWE-119,0.124424
cisco:nx-os,CWE-119,0.123457
ibm:aix,CWE-119,0.123418
microsoft:windows_vista,CWE-399,0.123267
microsoft:windows_server_2003,CWE-264,0.123188
tiki:tikiwiki_cms%2fgroupware,CWE-89,0.122449
microsoft:windows_vista,CWE-94,0.121726
microsoft:windows_server_2012,CWE-119,0.121429
clam_anti-virus:clamav,CWE-399,0.121212
microsoft:word_viewer,CWE-94,0.12069
vmware:esxi,CWE-20,0.12
microsoft:windows_2003_server,CWE-119,0.118451
opera:opera_browser,CWE-399,0.117647
vmware:player,CWE-399,0.117647
ibm:websphere_portal,CWE-264,0.117021
apple:quicktime,CWE-189,0.116935
mozilla:firefox_esr,CWE-264,0.116915
microsoft:works,CWE-189,0.116667
microsoft:works,CWE-20,0.116667
microsoft:works,CWE-94,0.116667
microsoft:windows_rt_8.1,CWE-200,0.116162
microsoft:windows_server_2003,CWE-119,0.115942
redhat:jboss_enterprise_application_platform,CWE-20,0.115942
xen:xen,CWE-119,0.115607
google:chrome,CWE-20,0.115602
microsoft:windows_vista,CWE-119,0.115562
cisco:5500_series_adaptive_security_appliance,CWE-119,0.115385
cisco:5500_series_adaptive_security_appliance,CWE-20,0.115385
cisco:unified_communications_manager,CWE-89,0.115108
cisco:unified_communications_manager,CWE-399,0.115108
ibm:websphere_application_server,CWE-200,0.114391
ibm:websphere_application_server,CWE-264,0.114391
novell:netware,CWE-264,0.114286
