Null,32942
CWE-119,6593
CWE-79,6377
CWE-264,4477
CWE-89,4132
CWE-20,3665
CWE-399,2648
CWE-200,2481
CWE-310,2233
CWE-94,2063
CWE-22,1848
CWE-189,1288
CWE-352,1118
CWE-287,976
CWE-255,583
CWE-59,421
CWE-362,353
CWE-16,277
CWE-284,200
CWE-78,194
CWE-134,162
CWE-17,157
CWE-254,150
CWE-19,96
CWE-77,56
CWE-345,20
CWE-74,19
CWE-18,5
CWE-199,2
CWE-21,2
CWE-361,1
