CAPEC-10,10320
CAPEC-100,6607
CAPEC-101,3735
CAPEC-104,3716
CAPEC-106,10117
CAPEC-108,8064
CAPEC-109,7849
CAPEC-11,56
CAPEC-110,7849
CAPEC-111,20
CAPEC-114,983
CAPEC-13,6280
CAPEC-132,423
CAPEC-135,3897
CAPEC-136,3772
CAPEC-139,5559
CAPEC-14,10320
CAPEC-141,20
CAPEC-142,20
CAPEC-15,253
CAPEC-169,2551
CAPEC-17,423
CAPEC-171,3716
CAPEC-18,10098
CAPEC-182,3716
CAPEC-19,6582
CAPEC-198,6382
CAPEC-199,10098
CAPEC-209,6402
CAPEC-213,1848
CAPEC-218,20
CAPEC-22,7241
CAPEC-23,1904
CAPEC-230,3716
CAPEC-231,3716
CAPEC-232,6382
CAPEC-24,10320
CAPEC-243,6382
CAPEC-244,10098
CAPEC-245,6382
CAPEC-246,6382
CAPEC-247,6382
CAPEC-250,3735
CAPEC-26,368
CAPEC-264,3716
CAPEC-265,3716
CAPEC-267,3735
CAPEC-273,19
CAPEC-28,3735
CAPEC-29,368
CAPEC-3,3735
CAPEC-31,3716
CAPEC-32,10098
CAPEC-34,19
CAPEC-35,2496
CAPEC-384,20
CAPEC-385,20
CAPEC-386,20
CAPEC-387,20
CAPEC-388,20
CAPEC-389,20
CAPEC-4,20
CAPEC-40,19
CAPEC-42,10320
CAPEC-43,3988
CAPEC-44,6607
CAPEC-45,10320
CAPEC-46,10320
CAPEC-47,10320
CAPEC-470,4137
CAPEC-472,2551
CAPEC-473,3716
CAPEC-474,200
CAPEC-484,3716
CAPEC-51,19
CAPEC-52,3735
CAPEC-53,3735
CAPEC-57,983
CAPEC-59,2551
CAPEC-6,253
CAPEC-60,2551
CAPEC-63,10098
CAPEC-64,5578
CAPEC-66,7868
CAPEC-67,3897
CAPEC-7,7868
CAPEC-71,3735
CAPEC-72,3735
CAPEC-73,3716
CAPEC-75,56
CAPEC-76,2346
CAPEC-77,2073
CAPEC-78,5578
CAPEC-79,8121
CAPEC-8,10320
CAPEC-80,3735
CAPEC-81,3716
CAPEC-83,3735
CAPEC-84,19
CAPEC-85,10098
CAPEC-86,10098
CAPEC-88,3913
CAPEC-9,10320
CAPEC-91,10117
CAPEC-94,983
CAPEC-99,3716
